时间,位移,力
(s),(mm),(N)
0,0,0.0006
0.05,0.0952,0.2435
0.1,0.7369,0.2842
0.15,1.7259,0.3046
0.2,2.7322,0.3732
0.25,3.7391,0.4793
0.3,4.7394,0.5455
0.35,5.7393,0.602
0.4,6.7393,0.6358
0.45,7.7395,0.681
0.5,8.7398,0.7273
0.55,9.7396,0.7784
0.6,10.7396,0.8233
0.65,11.7395,0.8516
0.7,12.7396,0.8876
0.75,13.7396,0.9133
0.8,14.7397,0.9593
0.85,15.7394,0.983
0.9,16.7395,1.0166
0.95,17.7396,1.0324
1,18.7396,1.0633
1.05,19.7396,1.0844
1.1,20.7396,1.1123
1.15,21.7395,1.1341
1.2,22.7395,1.1527
1.25,23.7396,1.1731
1.3,24.7395,1.1906
1.35,25.7396,1.2157
1.4,26.7395,1.2305
1.45,27.7396,1.257
1.5,28.7396,1.2667
1.55,29.7396,1.2917
1.6,30.7395,1.3001
1.65,31.7396,1.3251
1.7,32.7394,1.3352
1.75,33.7396,1.3568
1.8,34.7396,1.3625
1.85,35.7396,1.381
1.9,36.7395,1.3934
1.95,37.7395,1.4054
2,38.7396,1.4186
2.05,39.7395,1.4279
2.1,40.7395,1.4439
2.15,41.7395,1.451
2.2,42.7396,1.4685
2.25,43.7396,1.4706
2.3,44.7395,1.4915
2.35,45.7395,1.4979
2.4,46.7396,1.5148
2.45,47.7395,1.5205
2.5,48.7396,1.5351
2.55,49.7395,1.5435
2.6,50.7396,1.5543
2.65,51.7395,1.5645
2.7,52.7396,1.5731
2.75,53.7396,1.5816
2.8,54.7395,1.5861
2.85,55.7395,1.5996
2.9,56.7395,1.6015
2.95,57.7396,1.6167
3,58.7396,1.6157
3.05,59.7395,1.6303
3.1,60.7395,1.6311
3.15,61.7396,1.6467
3.2,62.7396,1.6507
3.25,63.7396,1.6612
3.3,64.7395,1.6687
3.35,65.7395,1.6736
3.4,66.7395,1.689
3.45,67.7396,1.692
3.5,68.7396,1.7041
3.55,69.7395,1.7032
3.6,70.7395,1.7179
3.65,71.7395,1.7168
3.7,72.7396,1.7292
3.75,73.7396,1.7265
3.8,74.7395,1.7373
3.85,75.7395,1.7385
3.9,76.7395,1.7499
3.95,77.7396,1.7525
4,78.7397,1.7591
4.05,79.7395,1.7642
4.1,80.7395,1.7704
4.15,81.7395,1.7829
4.2,82.7396,1.7844
4.25,83.7396,1.7984
4.3,84.7396,1.7954
4.35,85.7395,1.8117
4.4,86.7395,1.8071
4.45,87.7395,1.8227
4.5,88.7396,1.8205
4.55,89.7396,1.8301
4.6,90.7395,1.8305
4.65,91.7395,1.8365
4.7,92.7396,1.8405
4.75,93.7396,1.8424
4.8,94.7396,1.8516
4.85,95.7395,1.8517
4.9,96.7394,1.8645
4.95,97.7395,1.8613
5,98.7396,1.8748
5.05,99.7396,1.8729
5.1,100.7395,1.8888
5.15,101.7395,1.8881
5.2,102.7396,1.8988
5.25,103.7396,1.8985
5.3,104.7395,1.9066
5.35,105.7395,1.9105
5.4,106.7394,1.9178
5.45,107.7396,1.9223
5.5,108.7396,1.92
5.55,109.7395,1.9314
5.6,110.7396,1.9242
5.65,111.7395,1.9376
5.7,112.7396,1.935
5.75,113.7396,1.9485
5.8,114.7396,1.9439
5.85,115.7395,1.9564
5.9,116.7396,1.9545
5.95,117.7395,1.9665
6,118.7396,1.9689
6.05,119.7395,1.9772
6.1,120.7396,1.9804
6.15,121.7395,1.9863
6.2,122.7396,1.9914
6.25,123.7396,1.9921
6.3,124.7395,2.0038
6.35,125.7395,1.9993
6.4,126.7395,2.0109
6.45,127.7396,2.0056
6.5,128.7396,2.016
6.55,129.7395,2.0126
6.6,130.7395,2.0209
6.65,131.7395,2.0248
6.7,132.7395,2.0303
6.75,133.7396,2.0347
6.8,134.7395,2.0377
6.85,135.7396,2.0472
6.9,136.7395,2.049
6.95,137.7396,2.0587
7,138.7395,2.059
7.05,139.7395,2.0689
7.1,140.7395,2.0661
7.15,141.7396,2.0772
7.2,142.7397,2.0742
7.25,143.7396,2.0859
7.3,144.7395,2.0838
7.35,145.7396,2.0904
7.4,146.7395,2.0898
7.45,147.7396,2.0952
7.5,148.7396,2.1012
7.55,149.7395,2.1032
7.6,150.7395,2.1136
7.65,151.7395,2.1087
7.7,152.7396,2.1211
7.75,153.7396,2.1171
7.8,154.7395,2.1333
7.85,155.7395,2.1303
7.9,156.7395,2.1426
7.95,157.7395,2.1405
8,158.7396,2.1498
8.05,159.7395,2.1512
8.1,160.7396,2.1555
8.15,161.7395,2.1586
8.2,162.7395,2.1627
8.25,163.7396,2.1675
8.3,164.7395,2.1665
8.35,165.7396,2.1781
8.4,166.7395,2.1759
8.45,167.7396,2.1865
8.5,168.7396,2.1835
8.55,169.7396,2.1971
8.6,170.7395,2.1919
8.65,171.7395,2.2048
8.7,172.7395,2.203
8.75,173.7396,2.2104
8.8,174.7395,2.2156
8.85,175.7395,2.2194
8.9,176.7396,2.2282
8.95,177.7396,2.2269
9,178.7396,2.2356
9.05,179.7395,2.2314
9.1,180.7395,2.2463
9.15,181.7395,2.2425
9.2,182.7395,2.2523
9.25,183.7396,2.2497
9.3,184.7396,2.261
9.35,185.7395,2.2582
9.4,186.7395,2.2701
9.45,187.7396,2.2684
9.5,188.7396,2.2803
9.55,189.7395,2.2771
9.6,190.7395,2.2822
9.65,191.7395,2.29
9.7,192.7395,2.2898
9.75,193.7396,2.3029
9.8,194.7395,2.2987
9.85,195.7396,2.3118
9.9,196.7395,2.3071
9.95,197.7395,2.3203
10,198.7396,2.3192
10.05,199.7396,2.3286
