时间,位移,力
(s),(mm),(N)
"0.0000","0.0000","-0.0035"
"0.0200","0.0056","0.1501"
"0.0400","0.1107","0.4701"
"0.0600","0.4320","0.3230"
"0.0800","0.8703","0.1487"
"0.1000","1.2948","0.1749"
"0.1200","1.6870","0.2764"
"0.1400","2.0725","0.3211"
"0.1600","2.4625","0.3512"
"0.1800","2.8558","0.3806"
"0.2000","3.2506","0.4085"
"0.2200","3.6462","0.4350"
"0.2400","4.0420","0.4599"
"0.2600","4.4380","0.4879"
"0.2800","4.8341","0.5088"
"0.3000","5.2307","0.5352"
"0.3200","5.6278","0.5581"
"0.3400","6.0259","0.5787"
"0.3600","6.4242","0.5989"
"0.3800","6.8229","0.6202"
"0.4000","7.2222","0.6397"
"0.4200","7.6220","0.6550"
"0.4400","8.0219","0.6742"
"0.4600","8.4218","0.6898"
"0.4800","8.8216","0.7080"
"0.5000","9.2210","0.7241"
"0.5200","9.6201","0.7423"
"0.5400","10.0190","0.7564"
"0.5600","10.4181","0.7769"
"0.5800","10.8177","0.7867"
"0.6000","11.2175","0.8035"
"0.6200","11.6172","0.8173"
"0.6400","12.0170","0.8324"
"0.6600","12.4172","0.8427"
"0.6800","12.8178","0.8594"
"0.7000","13.2186","0.8694"
"0.7200","13.6193","0.8846"
"0.7400","14.0193","0.8956"
"0.7600","14.4186","0.9123"
"0.7800","14.8179","0.9196"
"0.8000","15.2173","0.9341"
"0.8200","15.6165","0.9432"
"0.8400","16.0162","0.9591"
"0.8600","16.4163","0.9644"
"0.8800","16.8162","0.9808"
"0.9000","17.2161","0.9885"
"0.9200","17.6165","1.0017"
"0.9400","18.0170","1.0071"
"0.9600","18.4177","1.0221"
"0.9800","18.8181","1.0265"
"1.0000","19.2181","1.0413"
"1.0200","19.6178","1.0487"
"1.0400","20.0173","1.0608"
"1.0600","20.4169","1.0677"
"1.0800","20.8166","1.0790"
"1.1000","21.2164","1.0838"
"1.1200","21.6162","1.0962"
"1.1400","22.0161","1.1011"
"1.1600","22.4162","1.1163"
"1.1800","22.8165","1.1227"
"1.2000","23.2174","1.1300"
"1.2200","23.6185","1.1336"
