
时间,位移,力
(s),(mm),(N)
"0.0000","0.0000","0.0006"
"0.0500","0.0952","0.2537"
"0.1000","0.7368","0.3190"
"0.1500","1.7255","0.3452"
"0.2000","2.7318","0.4161"
"0.2500","3.7386","0.5315"
"0.3000","4.7392","0.5949"
"0.3500","5.7395","0.6621"
"0.4000","6.7393","0.6868"
"0.4500","7.7394","0.7480"
"0.5000","8.7392","0.7853"
"0.5500","9.7392","0.8489"
"0.6000","10.7394","0.8796"
"0.6500","11.7394","0.9184"
"0.7000","12.7394","0.9463"
"0.7500","13.7393","0.9818"
"0.8000","14.7394","1.0206"
"0.8500","15.7393","1.0492"
"0.9000","16.7394","1.0789"
"0.9500","17.7393","1.0992"
"1.0000","18.7394","1.1312"
"1.0500","19.7392","1.1545"
"1.1000","20.7394","1.1886"
"1.1500","21.7394","1.2039"
"1.2000","22.7394","1.2337"
"1.2500","23.7393","1.2462"
"1.3000","24.7393","1.2761"
"1.3500","25.7394","1.2929"
"1.4000","26.7394","1.3176"
"1.4500","27.7393","1.3299"
"1.5000","28.7394","1.3488"
"1.5500","29.7394","1.3657"
"1.6000","30.7393","1.3815"
"1.6500","31.7394","1.4030"
"1.7000","32.7392","1.4110"
"1.7500","33.7394","1.4321"
"1.8000","34.7393","1.4396"
"1.8500","35.7395","1.4610"
"1.9000","36.7394","1.4681"
"1.9500","37.7393","1.4906"
"2.0000","38.7393","1.4965"
"2.0500","39.7394","1.5175"
"2.1000","40.7393","1.5272"
"2.1500","41.7394","1.5426"
"2.2000","42.7394","1.5537"
"2.2500","43.7393","1.5645"
"2.3000","44.7394","1.5799"
"2.3500","45.7394","1.5870"
"2.4000","46.7394","1.5996"
"2.4500","47.7393","1.6045"
"2.5000","48.7393","1.6205"
"2.5500","49.7392","1.6236"
"2.6000","50.7395","1.6397"
"2.6500","51.7394","1.6406"
"2.7000","52.7394","1.6571"
"2.7500","53.7393","1.6589"
"2.8000","54.7393","1.6738"
"2.8500","55.7394","1.6806"
"2.9000","56.7394","1.6921"
"2.9500","57.7393","1.7023"
"3.0000","58.7393","1.7094"
"3.0500","59.7393","1.7232"
"3.1000","60.7394","1.7258"
"3.1500","61.7395","1.7416"
"3.2000","62.7393","1.7415"
"3.2500","63.7394","1.7558"
"3.3000","64.7392","1.7550"
"3.3500","65.7394","1.7676"
