
时间,位移,力
(s),(mm),(N)
"0.0000","0.0000","0.0009"
"0.0200","0.0001","0.0010"
"0.0400","0.0027","0.0180"
"0.0600","0.0119","0.0117"
"0.0800","0.0250","0.0011"
"0.1000","0.0390","0.0087"
"0.1200","0.0548","0.0096"
"0.1400","0.0721","0.0060"
"0.1600","0.0898","0.0077"
"0.1800","0.1068","0.0083"
"0.2000","0.1233","0.0083"
"0.2200","0.1394","0.0124"
"0.2400","0.1554","0.0141"
"0.2600","0.1713","0.0130"
"0.2800","0.1874","0.0151"
"0.3000","0.2034","0.0167"
"0.3200","0.2195","0.0169"
"0.3400","0.2356","0.0184"
"0.3600","0.2516","0.0192"
"0.3800","0.2676","0.0202"
"0.4000","0.2836","0.0208"
"0.4200","0.2995","0.0231"
"0.4400","0.3154","0.0234"
"0.4600","0.3314","0.0225"
"0.4800","0.3474","0.0261"
"0.5000","0.3634","0.0277"
"0.5200","0.3795","0.0268"
"0.5400","0.3955","0.0291"
"0.5600","0.4116","0.0290"
"0.5800","0.4276","0.0298"
"0.6000","0.4437","0.0322"
"0.6200","0.4597","0.0310"
"0.6400","0.4756","0.0323"
"0.6600","0.4915","0.0353"
"0.6800","0.5075","0.0342"
"0.7000","0.5234","0.0341"
"0.7200","0.5394","0.0361"
"0.7400","0.5555","0.0387"
"0.7600","0.5716","0.0373"
"0.7800","0.5877","0.0388"
"0.8000","0.6036","0.0399"
"0.8200","0.6196","0.0415"
"0.8400","0.6355","0.0411"
"0.8600","0.6515","0.0416"
"0.8800","0.6675","0.0435"
"0.9000","0.6834","0.0440"
"0.9200","0.6994","0.0449"
"0.9400","0.7154","0.0468"
"0.9600","0.7315","0.0453"
"0.9800","0.7476","0.0471"
"1.0000","0.7636","0.0480"
"1.0200","0.7796","0.0464"
"1.0400","0.7956","0.0514"
"1.0600","0.8115","0.0520"
"1.0800","0.8275","0.0501"
"1.1000","0.8434","0.0528"
"1.1200","0.8594","0.0520"
"1.1400","0.8754","0.0523"
"1.1600","0.8915","0.0547"
"1.1800","0.9076","0.0552"
"1.2000","0.9236","0.0554"
"1.2200","0.9396","0.0568"
"1.2400","0.9556","0.0572"
"1.2600","0.9716","0.0570"
"1.2800","0.9875","0.0597"
"1.3000","1.0034","0.0586"
"1.3200","1.0194","0.0579"
"1.3400","1.0354","0.0616"
"1.3600","1.0514","0.0617"
"1.3800","1.0675","0.0620"
"1.4000","1.0836","0.0632"
"1.4200","1.0996","0.0621"
"1.4400","1.1156","0.0654"
"1.4600","1.1316","0.0648"
"1.4800","1.1476","0.0648"
"1.5000","1.1635","0.0676"
"1.5200","1.1794","0.0649"
"1.5400","1.1954","0.0675"
"1.5600","1.2114","0.0702"
"1.5800","1.2274","0.0671"
"1.6000","1.2435","0.0708"
"1.6200","1.2596","0.0709"
"1.6400","1.2757","0.0692"
"1.6600","1.2917","0.0721"
"1.6800","1.3076","0.0730"
"1.7000","1.3235","0.0732"
"1.7200","1.3394","0.0740"
"1.7400","1.3554","0.0734"
"1.7600","1.3713","0.0758"
"1.7800","1.3874","0.0760"
"1.8000","1.4035","0.0767"
"1.8200","1.4195","0.0768"
"1.8400","1.4356","0.0768"
"1.8600","1.4516","0.0786"
"1.8800","1.4676","0.0787"
"1.9000","1.4836","0.0798"
"1.9200","1.4995","0.0796"
"1.9400","1.5155","0.0807"
"1.9600","1.5314","0.0820"
"1.9800","1.5474","0.0807"
"2.0000","1.5634","0.0840"
"2.0200","1.5795","0.0838"
"2.0400","1.5955","0.0833"
"2.0600","1.6116","0.0860"
"2.0800","1.6276","0.0836"
"2.1000","1.6436","0.0861"
"2.1200","1.6596","0.0893"
"2.1400","1.6755","0.0853"
"2.1600","1.6914","0.0880"
"2.1800","1.7073","0.0893"
"2.2000","1.7233","0.0876"
"2.2200","1.7394","0.0909"
"2.2400","1.7556","0.0907"
"2.2600","1.7717","0.0898"
"2.2800","1.7877","0.0917"
"2.3000","1.8036","0.0928"
"2.3200","1.8196","0.0931"
"2.3400","1.8356","0.0936"
"2.3600","1.8515","0.0939"
"2.3800","1.8674","0.0939"
"2.4000","1.8834","0.0949"
"2.4200","1.8994","0.0970"
"2.4400","1.9155","0.0956"
"2.4600","1.9316","0.0974"
"2.4800","1.9476","0.0966"
"2.5000","1.9636","0.0985"
"2.5200","1.9796","0.0987"
"2.5400","1.9956","0.0981"
"2.5600","2.0115","0.1008"
"2.5800","2.0274","0.1008"
"2.6000","2.0434","0.0999"
"2.6200","2.0594","0.1028"
"2.6400","2.0755","0.1003"
"2.6600","2.0916","0.1028"
"2.6800","2.1076","0.1045"
"2.7000","2.1237","0.1029"
"2.7200","2.1397","0.1038"
"2.7400","2.1556","0.1059"
"2.7600","2.1716","0.1058"
