
时间,位移,力
(s),(mm),(N)
"0.0000","0.0000","-0.0016"
"0.0200","0.0008","0.0263"
"0.0400","0.0179","0.0936"
"0.0600","0.0719","0.0597"
"0.0800","0.1453","0.0296"
"0.1000","0.2238","0.0457"
"0.1200","0.3052","0.0605"
"0.1400","0.3882","0.0532"
"0.1600","0.4709","0.0669"
"0.1800","0.5525","0.0771"
"0.2000","0.6331","0.0755"
"0.2200","0.7133","0.0903"
"0.2400","0.7933","0.0956"
"0.2600","0.8733","0.0952"
"0.2800","0.9534","0.1095"
"0.3000","1.0334","0.1133"
"0.3200","1.1134","0.1126"
"0.3400","1.1934","0.1240"
"0.3600","1.2735","0.1280"
"0.3800","1.3535","0.1288"
"0.4000","1.4335","0.1385"
"0.4200","1.5134","0.1431"
"0.4400","1.5934","0.1423"
"0.4600","1.6734","0.1534"
"0.4800","1.7534","0.1565"
"0.5000","1.8334","0.1573"
"0.5200","1.9133","0.1672"
"0.5400","1.9933","0.1687"
"0.5600","2.0734","0.1696"
"0.5800","2.1534","0.1798"
"0.6000","2.2334","0.1795"
"0.6200","2.3134","0.1843"
"0.6400","2.3934","0.1918"
"0.6600","2.4734","0.1927"
"0.6800","2.5534","0.1967"
"0.7000","2.6334","0.2021"
"0.7200","2.7134","0.2036"
"0.7400","2.7935","0.2090"
"0.7600","2.8734","0.2123"
"0.7800","2.9535","0.2165"
"0.8000","3.0335","0.2196"
"0.8200","3.1134","0.2236"
"0.8400","3.1934","0.2256"
"0.8600","3.2733","0.2324"
"0.8800","3.3533","0.2345"
"0.9000","3.4334","0.2361"
"0.9200","3.5134","0.2412"
"0.9400","3.5934","0.2453"
"0.9600","3.6734","0.2470"
"0.9800","3.7534","0.2531"
"1.0000","3.8334","0.2531"
"1.0200","3.9134","0.2581"
"1.0400","3.9934","0.2618"
"1.0600","4.0733","0.2643"
"1.0800","4.1533","0.2679"
"1.1000","4.2333","0.2732"
"1.1200","4.3133","0.2736"
"1.1400","4.3933","0.2778"
"1.1600","4.4733","0.2807"
"1.1800","4.5533","0.2839"
"1.2000","4.6333","0.2857"
"1.2200","4.7133","0.2918"
"1.2400","4.7933","0.2932"
"1.2600","4.8733","0.2947"
"1.2800","4.9533","0.2994"
"1.3000","5.0333","0.3019"
"1.3200","5.1133","0.3049"
"1.3400","5.1933","0.3085"
"1.3600","5.2733","0.3100"
"1.3800","5.3533","0.3146"
"1.4000","5.4333","0.3164"
"1.4200","5.5133","0.3203"
"1.4400","5.5933","0.3213"
"1.4600","5.6734","0.3243"
"1.4800","5.7534","0.3293"
"1.5000","5.8334","0.3298"
"1.5200","5.9134","0.3330"
"1.5400","5.9934","0.3381"
"1.5600","6.0734","0.3375"
"1.5800","6.1533","0.3426"
"1.6000","6.2333","0.3459"
"1.6200","6.3133","0.3463"
"1.6400","6.3933","0.3518"
"1.6600","6.4733","0.3513"
"1.6800","6.5533","0.3543"
"1.7000","6.6333","0.3591"
"1.7200","6.7133","0.3596"
"1.7400","6.7933","0.3633"
"1.7600","6.8733","0.3642"
"1.7800","6.9534","0.3680"
"1.8000","7.0334","0.3726"
"1.8200","7.1134","0.3725"
"1.8400","7.1934","0.3759"
"1.8600","7.2734","0.3787"
"1.8800","7.3534","0.3810"
"1.9000","7.4334","0.3846"
"1.9200","7.5134","0.3868"
"1.9400","7.5934","0.3880"
"1.9600","7.6734","0.3916"
"1.9800","7.7534","0.3939"
"2.0000","7.8335","0.3951"
"2.0200","7.9135","0.3974"
"2.0400","7.9934","0.4032"
"2.0600","8.0734","0.4021"
"2.0800","8.1533","0.4060"
"2.1000","8.2332","0.4092"
"2.1200","8.3132","0.4083"
"2.1400","8.3932","0.4144"
"2.1600","8.4733","0.4166"
"2.1800","8.5534","0.4162"
"2.2000","8.6334","0.4206"
"2.2200","8.7133","0.4207"
"2.2400","8.7934","0.4252"
"2.2600","8.8734","0.4279"
"2.2800","8.9534","0.4278"
"2.3000","9.0334","0.4320"
"2.3200","9.1134","0.4340"
"2.3400","9.1934","0.4354"
"2.3600","9.2734","0.4382"
"2.3800","9.3534","0.4404"
"2.4000","9.4333","0.4435"
"2.4200","9.5133","0.4447"
"2.4400","9.5933","0.4461"
"2.4600","9.6733","0.4480"
"2.4800","9.7533","0.4522"
"2.5000","9.8333","0.4547"
"2.5200","9.9134","0.4546"
"2.5400","9.9934","0.4582"
"2.5600","10.0734","0.4605"
"2.5800","10.1534","0.4610"
"2.6000","10.2334","0.4658"
"2.6200","10.3134","0.4656"
"2.6400","10.3934","0.4675"
"2.6600","10.4734","0.4721"
"2.6800","10.5534","0.4717"
"2.7000","10.6334","0.4738"
"2.7200","10.7133","0.4786"
"2.7400","10.7933","0.4780"
"2.7600","10.8733","0.4801"
"2.7800","10.9533","0.4839"
"2.8000","11.0334","0.4855"
"2.8200","11.1134","0.4866"
"2.8400","11.1934","0.4892"
"2.8600","11.2734","0.4908"
"2.8800","11.3534","0.4930"
"2.9000","11.4334","0.4961"
"2.9200","11.5134","0.4965"
"2.9400","11.5933","0.4994"
"2.9600","11.6734","0.5009"
"2.9800","11.7534","0.5029"
"3.0000","11.8334","0.5059"
"3.0200","11.9134","0.5060"
"3.0400","11.9934","0.5089"
"3.0600","12.0734","0.5111"
"3.0800","12.1534","0.5120"
"3.1000","12.2334","0.5171"
"3.1200","12.3134","0.5160"
"3.1400","12.3934","0.5166"
"3.1600","12.4734","0.5220"
"3.1800","12.5534","0.5222"
"3.2000","12.6334","0.5241"
"3.2200","12.7134","0.5266"
"3.2400","12.7934","0.5262"
"3.2600","12.8734","0.5308"
"3.2800","12.9533","0.5328"
"3.3000","13.0334","0.5327"
"3.3200","13.1134","0.5351"
"3.3400","13.1934","0.5374"
"3.3600","13.2734","0.5385"
"3.3800","13.3535","0.5394"
"3.4000","13.4334","0.5426"
"3.4200","13.5134","0.5454"
"3.4400","13.5934","0.5468"
"3.4600","13.6734","0.5476"
"3.4800","13.7534","0.5501"
"3.5000","13.8334","0.5518"
"3.5200","13.9134","0.5515"
"3.5400","13.9934","0.5563"
"3.5600","14.0734","0.5579"
"3.5800","14.1534","0.5563"
"3.6000","14.2334","0.5623"
"3.6200","14.3134","0.5624"
"3.6400","14.3934","0.5619"
"3.6600","14.4734","0.5686"
"3.6800","14.5534","0.5656"
"3.7000","14.6334","0.5671"
"3.7200","14.7134","0.5733"
"3.7400","14.7933","0.5713"
"3.7600","14.8732","0.5751"
"3.7800","14.9532","0.5767"
"3.8000","15.0332","0.5751"
"3.8200","15.1133","0.5802"
"3.8400","15.1933","0.5821"
"3.8600","15.2734","0.5815"
"3.8800","15.3534","0.5842"
"3.9000","15.4334","0.5849"
"3.9200","15.5134","0.5876"
"3.9400","15.5934","0.5898"
