
时间,位移,力
(s),(mm),(N)
"0.0000","0.0000","0.0041"
"0.0200","0.0004","0.0117"
"0.0400","0.0099","0.0540"
"0.0600","0.0414","0.0380"
"0.0800","0.0849","0.0170"
"0.1000","0.1313","0.0294"
"0.1200","0.1798","0.0340"
"0.1400","0.2297","0.0287"
"0.1600","0.2797","0.0374"
"0.1800","0.3289","0.0408"
"0.2000","0.3775","0.0409"
"0.2200","0.4257","0.0494"
"0.2400","0.4737","0.0514"
"0.2600","0.5217","0.0530"
"0.2800","0.5698","0.0581"
"0.3000","0.6178","0.0605"
"0.3200","0.6658","0.0623"
"0.3400","0.7138","0.0671"
"0.3600","0.7618","0.0678"
"0.3800","0.8098","0.0706"
"0.4000","0.8578","0.0753"
"0.4200","0.9058","0.0758"
"0.4400","0.9538","0.0788"
"0.4600","1.0017","0.0841"
"0.4800","1.0498","0.0815"
"0.5000","1.0978","0.0854"
"0.5200","1.1457","0.0911"
"0.5400","1.1937","0.0920"
"0.5600","1.2418","0.0927"
"0.5800","1.2898","0.0972"
"0.6000","1.3377","0.0980"
"0.6200","1.3857","0.1005"
"0.6400","1.4337","0.1034"
"0.6600","1.4817","0.1061"
"0.6800","1.5297","0.1059"
"0.7000","1.5778","0.1094"
"0.7200","1.6258","0.1125"
"0.7400","1.6738","0.1146"
"0.7600","1.7218","0.1157"
"0.7800","1.7698","0.1177"
"0.8000","1.8178","0.1190"
"0.8200","1.8658","0.1247"
"0.8400","1.9138","0.1255"
"0.8600","1.9618","0.1232"
"0.8800","2.0097","0.1277"
"0.9000","2.0577","0.1348"
"0.9200","2.1058","0.1295"
"0.9400","2.1538","0.1323"
"0.9600","2.2017","0.1366"
"0.9800","2.2498","0.1384"
"1.0000","2.2977","0.1416"
"1.0200","2.3457","0.1407"
"1.0400","2.3937","0.1421"
"1.0600","2.4418","0.1480"
"1.0800","2.4898","0.1474"
"1.1000","2.5377","0.1497"
"1.1200","2.5858","0.1512"
"1.1400","2.6338","0.1518"
"1.1600","2.6817","0.1554"
"1.1800","2.7297","0.1569"
"1.2000","2.7777","0.1571"
"1.2200","2.8257","0.1611"
"1.2400","2.8737","0.1617"
"1.2600","2.9217","0.1622"
"1.2800","2.9698","0.1660"
"1.3000","3.0178","0.1672"
