
时间,位移,力
(s),(mm),(N)
"0.0000","0.0000","-0.0005"
"0.0200","0.0005","0.0171"
"0.0400","0.0113","0.0553"
"0.0600","0.0440","0.0357"
"0.0800","0.0875","0.0185"
"0.1000","0.1342","0.0288"
"0.1200","0.1833","0.0341"
"0.1400","0.2335","0.0304"
"0.1600","0.2835","0.0397"
"0.1800","0.3328","0.0426"
"0.2000","0.3812","0.0406"
"0.2200","0.4293","0.0526"
"0.2400","0.4774","0.0550"
"0.2600","0.5255","0.0548"
"0.2800","0.5736","0.0628"
"0.3000","0.6216","0.0644"
"0.3200","0.6696","0.0648"
"0.3400","0.7176","0.0720"
"0.3600","0.7655","0.0729"
"0.3800","0.8136","0.0755"
"0.4000","0.8616","0.0814"
"0.4200","0.9096","0.0799"
"0.4400","0.9576","0.0846"
"0.4600","1.0056","0.0906"
"0.4800","1.0536","0.0881"
"0.5000","1.1016","0.0938"
"0.5200","1.1496","0.0973"
"0.5400","1.1977","0.0965"
"0.5600","1.2457","0.1010"
"0.5800","1.2936","0.1040"
"0.6000","1.3416","0.1064"
"0.6200","1.3896","0.1091"
"0.6400","1.4376","0.1108"
"0.6600","1.4855","0.1139"
"0.6800","1.5336","0.1164"
"0.7000","1.5816","0.1189"
"0.7200","1.6295","0.1214"
"0.7400","1.6775","0.1218"
"0.7600","1.7256","0.1255"
"0.7800","1.7736","0.1283"
"0.8000","1.8215","0.1308"
"0.8200","1.8696","0.1320"
"0.8400","1.9176","0.1337"
"0.8600","1.9655","0.1366"
"0.8800","2.0136","0.1398"
"0.9000","2.0616","0.1422"
"0.9200","2.1096","0.1438"
"0.9400","2.1576","0.1449"
"0.9600","2.2056","0.1491"
"0.9800","2.2536","0.1482"
"1.0000","2.3015","0.1516"
"1.0200","2.3495","0.1550"
"1.0400","2.3976","0.1553"
"1.0600","2.4456","0.1573"
"1.0800","2.4935","0.1611"
"1.1000","2.5415","0.1612"
"1.1200","2.5895","0.1646"
"1.1400","2.6375","0.1658"
"1.1600","2.6855","0.1696"
"1.1800","2.7335","0.1680"
"1.2000","2.7815","0.1711"
"1.2200","2.8295","0.1743"
"1.2400","2.8775","0.1767"
"1.2600","2.9256","0.1779"
"1.2800","2.9735","0.1804"
"1.3000","3.0215","0.1797"
"1.3200","3.0696","0.1843"
"1.3400","3.1176","0.1862"
"1.3600","3.1655","0.1880"
"1.3800","3.2135","0.1880"
"1.4000","3.2616","0.1917"
"1.4200","3.3096","0.1918"
"1.4400","3.3576","0.1963"
"1.4600","3.4056","0.1977"
"1.4800","3.4536","0.1951"
"1.5000","3.5015","0.2001"
"1.5200","3.5496","0.2050"
"1.5400","3.5977","0.2013"
"1.5600","3.6456","0.2068"
"1.5800","3.6936","0.2081"
"1.6000","3.7416","0.2076"
"1.6200","3.7896","0.2118"
"1.6400","3.8375","0.2125"
"1.6600","3.8855","0.2130"
"1.6800","3.9336","0.2166"
"1.7000","3.9815","0.2179"
"1.7200","4.0295","0.2201"
"1.7400","4.0775","0.2205"
"1.7600","4.1255","0.2220"
"1.7800","4.1735","0.2255"
"1.8000","4.2215","0.2276"
"1.8200","4.2696","0.2271"
"1.8400","4.3176","0.2284"
"1.8600","4.3655","0.2319"
"1.8800","4.4135","0.2332"
"1.9000","4.4616","0.2359"
"1.9200","4.5096","0.2356"
"1.9400","4.5576","0.2349"
"1.9600","4.6056","0.2407"
"1.9800","4.6536","0.2416"
"2.0000","4.7015","0.2430"
"2.0200","4.7495","0.2456"
"2.0400","4.7975","0.2433"
"2.0600","4.8455","0.2478"
"2.0800","4.8935","0.2519"
"2.1000","4.9415","0.2501"
"2.1200","4.9895","0.2529"
"2.1400","5.0375","0.2545"
"2.1600","5.0855","0.2547"
"2.1800","5.1335","0.2573"
"2.2000","5.1815","0.2585"
"2.2200","5.2295","0.2609"
"2.2400","5.2775","0.2621"
"2.2600","5.3256","0.2621"
"2.2800","5.3735","0.2656"
"2.3000","5.4215","0.2674"
"2.3200","5.4696","0.2671"
"2.3400","5.5176","0.2691"
"2.3600","5.5655","0.2711"
"2.3800","5.6135","0.2723"
"2.4000","5.6616","0.2749"
"2.4200","5.7095","0.2745"
"2.4400","5.7575","0.2754"
"2.4600","5.8056","0.2801"
"2.4800","5.8536","0.2791"
"2.5000","5.9015","0.2807"
"2.5200","5.9495","0.2850"
"2.5400","5.9976","0.2823"
